id	topic	x	y
149	21	-0.7386608	0.1529087
150	32	0.111590914	-0.10194656
151	21	-0.73856837	0.15253684
152	37	0.10887623	-0.098914646
153	21	-0.7386608	0.1529087
154	1	0.60974985	0.5698882
155	35	0.11131433	-0.102327205
156	21	-0.7386608	0.1529087
157	21	-0.7386608	0.1529087
158	8	0.10880644	-0.09900792
159	21	-0.73861474	0.15272345
160	21	-0.7386608	0.1529087
161	0	0.28078344	-0.7959474
162	0	0.28054845	-0.796379
163	0	0.28059578	-0.7961957
164	21	-0.7386608	0.15290864
165	1	0.60972303	0.56999606
166	1	0.60989004	0.5702171
167	21	-0.7386608	0.1529087
168	29	0.10880738	-0.099007435
169	21	-0.7385563	0.15248838
170	1	0.60972303	0.56999606
171	36	0.1139367	-0.105838574
172	5	0.10880686	-0.09900891
173	21	-0.7385277	0.15308487
174	24	0.111447625	-0.10212653
175	34	0.12580433	-0.12287555
176	21	-0.7386608	0.1529087
177	21	-0.7383185	0.1533616
178	0	0.2805777	-0.79649776
179	1	0.60972303	0.56999606
